O3_GMI,1.7*10^-12*exp(-940/T)
CO_NOAA,SPECIAL
CH3Cl_TOGA',7.33*10^-18*T^2*exp(-809/T)
CH2Cl2_TOGA',6.4*10^-18*T^2*exp(-389/T)
CHCl3_TOGA',1.8*10^-18*T^2*exp(-129/T)
C2Cl4_TOGA',3.5*10^-12*exp(-920/T)
CH3Br_TOGA',7.4*10^-13*exp(-875/T)
CH3I_TOGA',2.9*10^-11*exp(-1100/T)
Propane_TOGA',7.6*10^-12*exp(-585/T)
iButane_TOGA',1.16*10^-17*T^2*exp(225/T)
nButane_TOGA',9.8*10^-12*exp(-425/T)
iPentane_TOGA',3.7*10^-12
nPentane_TOGA',2.44*10^-17*T^2*exp(183/T)
x2MePentane_TOGA',5.3*10^-12
x3MePentane_TOGA',5.4*10^-12
nHexane_TOGA',1.53*10^-17*T^2*exp(414/T)
nHeptane_TOGA',1.59*10^-17*T^2*exp(478/T)
Isoprene_TOGA',2.70*10^-11*exp(390/T)
Benzene_TOGA',2.310^-12*exp(-190/T)
Toluene_TOGA',1.8*10^-12*exp(340/T)
EthBenzene_TOGA',7.00*10^-12
oXylene_TOGA',1.36*10^-11
aPinene_TOGA',1.2e-11*exp(440/T)
bPineneMyrcene_TOGA',2.38e-11*exp(357/T)
LimoneneD3Carene_TOGA',4.28e-11*exp(401/T)
CH2O_TOGA',5.4e-12*exp(135/T)
CH3CHO_TOGA',4.7e-12*exp(345/T)
Propanal_TOGA',4.9e-12*exp(405/T)
Butanal_TOGA',6.0e-12*exp(410/T)
Acrolein_TOGA',2.00E-11
MAC_TOGA',8e-12*exp(380/T)
Acetone_TOGA',8.8e-12*EXP(-1320/T) + 1.7e-14*EXP(423/T)
MEK_TOGA',2.6e-12*EXP(610/T)
CH3OH_TOGA',2.85e-12*EXP(-345/T)
C2H5OH_TOGA',3.0e-12*EXP(20/T)
MTBE_TOGA',6.54e-18*(T^2)*EXP(483/T)
DMS_TOGA',1.12e-11*EXP(-250/T)
HCN_TOGA',1.2*10^-13*exp(-400/T)
CH3CN_TOGA',7.8*10^-13*exp(-1050/T)
EthONO2_TOGA',1*10^-12*exp(-490/T)